id,type,color,x,y,z,yaw
non_target_0,SEDAN,orange,84,63.25,0,1.5707963267948966
non_target_1,SUV,red,-111.75,-46.5,0,0
non_target_2,SUV,yellow,43,15,0,3.141592653589793
non_target_3,SUV,black,81.5,-30.75,0,3.141592653589793
non_target_4,SEDAN,blue,52,-39.5,0,3.141592653589793
non_target_5,SUV,blue,84,77.25,0,1.5707963267948966
non_target_6,SEDAN,black,66.25,91.5,0,3.141592653589793
non_target_7,SEDAN,white,82.25,49.5,0,3.141592653589793
non_target_8,SEDAN,red,66,77.25,0,1.5707963267948966
non_target_9,SUV,orange,60.5,38,0,3.141592653589793
