id,type,color,x,y,z,yaw
non_target_0,SEDAN,orange,43.25,86,0,3.141592653589793
non_target_1,SUV,green,13.25,82.5,0,3.141592653589793
non_target_2,SUV,white,24,-92,0,3.141592653589793
non_target_3,SUV,blue,-79.75,-42.5,0,3.141592653589793
non_target_4,SUV,orange,-12.75,-38,0,1.5707963267948966
non_target_5,SEDAN,red,35.75,-102.75,0,1.5707963267948966
non_target_6,SUV,black,31.75,31.25,0,0
non_target_7,SEDAN,violet,37.75,-27.5,0,-1.5707963267948966
non_target_8,SUV,red,43,15,0,0
non_target_9,SEDAN,yellow,14.5,91.75,0,3.141592653589793
