id,type,color,x,y,z,yaw
non_target_0,SUV,violet,84,91.75,0,3.141592653589793
non_target_1,SEDAN,black,43.25,86,0,3.141592653589793
non_target_2,SEDAN,yellow,45.75,79.25,0,1.5707963267948966
non_target_3,SEDAN,orange,80.75,73,0,3.141592653589793
non_target_4,SEDAN,blue,-110.25,118.5,0,3.141592653589793
non_target_5,SEDAN,violet,14.5,91.75,0,3.141592653589793
non_target_6,SUV,blue,18.25,89.25,0,1.5707963267948966
non_target_7,SUV,white,66.25,91.5,0,3.141592653589793
non_target_8,SUV,orange,61,61.75,0,-1.5707963267948966
non_target_9,SEDAN,green,66,77.25,0,-1.5707963267948966
