id,type,color,x,y,z,yaw
non_target_0,SEDAN,green,84,77.25,0,1.5707963267948966
non_target_1,SEDAN,yellow,67.75,64.5,0,0
non_target_2,SEDAN,black,83.75,-45.5,0,1.5707963267948966
non_target_3,SEDAN,blue,61.25,36,0,1.5707963267948966
non_target_4,SUV,red,-158,-41.25,0,0
non_target_5,SEDAN,violet,-170.5,-32.25,0,-1.5707963267948966
non_target_6,SUV,violet,-187,-130.25,0,0
non_target_7,SEDAN,orange,68.75,-30,0,1.5707963267948966
non_target_8,SEDAN,red,39.25,34.75,0,3.141592653589793
non_target_9,SUV,white,66.25,91.5,0,0
