id,type,color,x,y,z,yaw
non_target_0,SEDAN,white,-49.75,53.5,0,-1.5707963267948966
non_target_1,SEDAN,blue,37.75,-27.5,0,-1.5707963267948966
non_target_2,SUV,white,-43,59.5,0,-1.5707963267948966
non_target_3,SUV,orange,24,-86.5,0,0
non_target_4,SEDAN,green,41.25,74.5,0,3.141592653589793
non_target_5,SUV,blue,45.75,79.25,0,1.5707963267948966
non_target_6,SUV,yellow,-46,56.5,0,0
non_target_7,SUV,black,24,-92,0,0
non_target_8,SUV,violet,31.75,31.25,0,3.141592653589793
non_target_9,SEDAN,violet,39.25,34.75,0,3.141592653589793
