id,type,color,x,y,z,yaw
non_target_0,SEDAN,white,84,77.25,0,-1.5707963267948966
non_target_1,SUV,white,-110.25,118.5,0,3.141592653589793
non_target_2,SEDAN,green,66,77.25,0,-1.5707963267948966
non_target_3,SEDAN,orange,67.75,64.5,0,3.141592653589793
non_target_4,SUV,orange,106.75,51,0,3.141592653589793
non_target_5,SEDAN,black,61,61.75,0,-1.5707963267948966
non_target_6,SUV,blue,84,63.25,0,-1.5707963267948966
non_target_7,SUV,green,80.75,73,0,3.141592653589793
non_target_8,SEDAN,yellow,41.25,74.5,0,3.141592653589793
non_target_9,SUV,red,43.25,86,0,3.141592653589793
