id,type,color,x,y,z,yaw
non_target_0,SUV,green,79.75,158.25,0,-1.5707963267948966
non_target_1,SEDAN,violet,64.25,75.5,0,0
non_target_2,SUV,blue,80.75,73,0,0
non_target_3,SEDAN,blue,88.25,167,0,-1.5707963267948966
non_target_4,SEDAN,green,45.75,79.25,0,-1.5707963267948966
non_target_5,SUV,white,106.75,51,0,3.141592653589793
non_target_6,SEDAN,black,84,77.25,0,-1.5707963267948966
non_target_7,SEDAN,white,41.25,74.5,0,0
non_target_8,SUV,yellow,84,63.25,0,-1.5707963267948966
non_target_9,SUV,orange,-110.25,118.5,0,3.141592653589793
